Site,Label,Province,LatPrecision,LonPrecision,AdjustedLat,AdjustedLon,PleiadesLat,PleiadesLon
urn:cite:rage:ptolgeo.pt-ll-581,Bernaba (Î’á½³ÏÎ½Î±Î²Î±),tarraconensis,1/4,1/6,39.750000000075,-3.8092857174272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-582,Ebora (á¼˜Î²á½¹ÏÎ±),tarraconensis,0,2/3,39.5714285715,-3.4521428602772817313671112060546875,-7.9073579999999994,38.572611000000002
urn:cite:rage:ptolgeo.pt-ll-583,Beleia (Î’á½³Î»ÎµÎ¹Î±),tarraconensis,3/4,1/6,39.392857142925,-3.8092857174272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-584,Arsi (á¼ŒÏÏƒÎ¹),tarraconensis,2/3,2/3,39.3335714255727182686328887939453125,-3.4521428602772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-585,Damania (Î”Î±Î¼Î±Î½á½·Î±),tarraconensis,1/2,1/2,39.21428571435,-3.57142857150,,
urn:cite:rage:ptolgeo.pt-ll-586,Leonika (Î›ÎµÎ¿Î½á½·ÎºÎ±),tarraconensis,1/4,2/3,39.035714285775,-3.4521428602772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-587,Osikerda (á½ˆÏƒÎ¹Îºá½³ÏÎ´Î±),tarraconensis,1/6,1/4,38.9764285684227182686328887939453125,-3.750000000075,,
urn:cite:rage:ptolgeo.pt-ll-588,Ä’tobÄ“sa (á¼¨Ï„á½¹Î²Î·ÏƒÎ±),tarraconensis,3/4,1/3,38.678571428625,-3.6907142827227182686328887939453125,0.13333900000000001,40.093581
urn:cite:rage:ptolgeo.pt-ll-589,Lassira (Î›á½±ÏƒÏƒÎ¹ÏÎ±),tarraconensis,2/3,5/6,38.6192857112727182686328887939453125,-3.3335714255727182686328887939453125,-0.20249,40.646247000000002
urn:cite:rage:ptolgeo.pt-ll-590,Sagounton (Î£á½±Î³Î¿Ï…Î½Ï„Î¿Î½),tarraconensis,1/3,7/12,38.3807142888272817313671112060546875,-3.5121428541477182686328887939453125,-0.27588699999999999,39.676219000000003
urn:cite:rage:ptolgeo.pt-ll-591,KarkhÄ“dÅn palaia (ÎšÎ±ÏÏ‡Î·Î´á½¼Î½ Ï€Î±Î»Î±Î¹á½±),tarraconensis,1/3,1/3,39.8092857174272817313671112060546875,-2.2621428541227182686328887939453125,-0.98451999999999995,37.599896000000001
urn:cite:rage:ptolgeo.pt-ll-592,Biskargis (Î’Î¹ÏƒÎºÎ±ÏÎ³á½·Ï‚),tarraconensis,1/6,11/12,39.6907142827227182686328887939453125,-3.274285708220436537265777587890625,,
urn:cite:rage:ptolgeo.pt-ll-593,Theaua (Î˜ÎµÎ±á½»Î±),tarraconensis,2/3,1/4,39.3335714255727182686328887939453125,-3.035714285775,,
urn:cite:rage:ptolgeo.pt-ll-594,Adeba (á¼ŒÎ´ÎµÎ²Î±),tarraconensis,1/2,2/3,39.21428571435,-2.7378571459772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-595,Tiarioulia (Î¤Î¹Î±ÏÎ¹Î¿Ï…Î»á½·Î±),tarraconensis,5/12,1/2,39.154285720479563462734222412109375,-2.85714285720,,
urn:cite:rage:ptolgeo.pt-ll-596,Sigarra (Î£á½·Î³Î±ÏÏÎ±),tarraconensis,1/4,1/12,39.035714285775,-3.1550000023195615522563457489013671875,,
urn:cite:rage:ptolgeo.pt-ll-597,DertÅsa (Î”á½³ÏÏ„Ï‰ÏƒÎ±),tarraconensis,0,1/4,38.8571428572,-3.035714285775,,
urn:cite:rage:ptolgeo.pt-ll-598,Souestasion (Î£Î¿Ï…ÎµÏƒÏ„á½±ÏƒÎ¹Î¿Î½),tarraconensis,0,2/3,41.7142857144,-4.1664285745772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-599,Toullika (Î¤Î¿Ï…Î»Î»á½·ÎºÎ±),tarraconensis,3/4,2/3,41.535714285825,-4.1664285745772817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-600,Oueleia (ÎŸá½á½³Î»ÎµÎ¹Î±),tarraconensis,1/3,11/12,41.2378571460272817313671112060546875,-3.988571422520436537265777587890625,,
urn:cite:rage:ptolgeo.pt-ll-601,Gebala (Î“á½³Î²Î±Î»Î±),tarraconensis,5/6,0,41.5950000031772817313671112060546875,-3.92857142865,,
urn:cite:rage:ptolgeo.pt-ll-602,Gabalaika (Î“Î±Î²á½±Î»Î±Î¹ÎºÎ±),tarraconensis,3/4,1/2,41.535714285825,-3.57142857150,,
urn:cite:rage:ptolgeo.pt-ll-6026,Agamna (á¼ŒÎ³Î±Î¼Î½Î±),mesopotamia,1/2,1/2,34.21428571425,41.42857142940,,
urn:cite:rage:ptolgeo.pt-ll-6027,Basileios potamos (Î’Î±Ïƒá½·Î»ÎµÎ¹Î¿Ï‚ Ï€Î¿Ï„Î±Î¼á½¸Ï‚),mesopotamia,2/3,0,35.7621428540727182686328887939453125,42.50000000085,,
urn:cite:rage:ptolgeo.pt-ll-6028,DorbÄ“ta (Î”á½¹ÏÎ²Î·Ï„Î±),mesopotamia,0,0,37.4285714286,40.35714285795,,
urn:cite:rage:ptolgeo.pt-ll-617,Ergaouika (á¼˜ÏÎ³Î±Î¿Ï…á¿“ÎºÎ±),tarraconensis,7/12,1/2,40.7021428603022817313671112060546875,-3.57142857150,,
urn:cite:rage:ptolgeo.pt-ll-618,Tarraga (Î¤á½±ÏÏÎ±Î³Î±),tarraconensis,1/2,3/4,40.64285714295,-3.392857142925,,
urn:cite:rage:ptolgeo.pt-ll-619,Mouskaria (ÎœÎ¿Ï…ÏƒÎºÎ±Ïá½·Î±),tarraconensis,5/12,1/3,40.582857149079563462734222412109375,-3.6907142827227182686328887939453125,,
